n^2,,mparl,,mperp,
X,Y,X,Y,X,Y
0.006136914,2.915031227,0.005670266,0.699610083,0.005701859,0.873526396
0.00677447,2.409896715,0.005846222,0.678124526,0.005878796,0.852415312
0.007414968,2.018670964,0.006027638,0.654490739,0.006061223,0.82978193
0.008059423,1.769007943,0.006214684,0.629366817,0.00624931,0.812704943
0.008707269,1.538653126,0.006407534,0.607803946,0.006443235,0.791125953
0.009342569,1.358922581,0.006606368,0.582331297,0.006643177,0.769649058
0.00999512,1.234440483,0.006811372,0.558609077,0.006849324,0.745556421
0.010622715,1.154408548,0.007022738,0.534217051,0.007061867,0.722659818
0.011293006,1.048527538,0.007240663,0.509330172,0.007281007,0.701323738
0.01192612,0.915799345,0.007465351,0.484119933,0.007506946,0.680201446
0.012554084,0.843469342,0.007697011,0.46128465,0.007739897,0.658908824
0.013219969,0.810124336,0.007935859,0.436846484,0.007980076,0.637502447
0.013854266,0.711984867,0.008182119,0.41497008,0.008227708,0.616414391
0.015788566,0.567682003,0.008436022,0.390350562,0.008483025,0.599680435
0.018973245,0.369290315,0.008697803,0.364729604,0.008746265,0.578780558
0.02386029,0.244054393,0.008967707,0.345406779,0.009017673,0.55792619
0.026439756,0.190378197,0.009245987,0.32471568,0.009297503,0.533890417
0.028941309,0.148907567,0.009532902,0.305077406,0.009586017,0.518444626
0.031458618,0.119649863,0.009828721,0.284879128,0.009883484,0.503445692
0.033968941,0.093680833,0.010133719,0.265368115,0.010190182,0.484712482
0.036478098,0.07831238,0.010448182,0.248709884,0.010506397,0.468678592
0.039011333,0.070896798,0.010772403,0.229841314,0.010832425,0.451515134
0.041447159,0.065216702,0.011106685,0.21383804,0.011168569,0.436579385
0.044066432,0.057241049,0.011451341,0.196770812,0.011515145,0.420848748
0.046515428,0.050058074,0.011806691,0.180733863,0.011872475,0.407176375
0.049006849,0.044832749,0.012173069,0.167124531,0.012240894,0.391785652
0.051576332,0.047416907,0.012550815,0.152847984,0.012620745,0.378131259
0.054133705,0.044815317,0.012940284,0.141511465,0.013012384,0.365846676
0.056591169,0.041811451,0.013341838,0.128319443,0.013416175,0.353096301
0.081575174,0.029891447,0.013755853,0.115365148,0.013832497,0.339334396
0.014530239,0.673642668,0.014182716,0.103528502,0.014261738,0.327908879
0.01515546,0.629348494,0.014622824,0.09416486,0.014704299,0.315321448
0.016390564,0.522455478,0.01507659,0.082967036,0.015160593,0.302476311
0.017108472,0.46590827,0.015544437,0.072699547,0.015631047,0.291043111
0.017726324,0.430623844,0.016026801,0.063236875,0.016116099,0.278334526
0.018393657,0.400871361,0.016524134,0.055819247,0.016616203,0.265692918
0.019717008,0.344913062,0.016989635,0.048041725,0.017131826,0.255025411
0.020338669,0.318791913,0.017390775,0.041899448,0.017663449,0.240924417
0.020948941,0.296766075,0.017836038,0.036593734,0.01821157,0.230263422
0.021386994,0.323389492,0.018236885,0.031879351,0.018776699,0.218464893
0.059016496,0.036746194,0.01851768,0.028137781,0.019359365,0.206511689
0.061507766,0.035254837,0.019039341,0.024369111,0.019960112,0.197011654
0.064195661,0.034532012,0.019494291,0.021095165,0.020579501,0.18634619
0.066667509,0.035499125,0.019932405,0.018131847,0.021218111,0.177773817
0.069037396,0.035868735,0.020369045,0.01563731,0.021876537,0.16856169
0.071593528,0.037515367,0.020726129,0.013890108,0.022555395,0.1594364
0.074138525,0.033591245,0.021159245,0.012038612,0.023255319,0.150252727
0.076609976,0.036873286,0.021719088,0.010429624,0.023976963,0.14133847
0.078938402,0.032902529,0.022306134,0.008949804,0.024721,0.132061612
0.083869478,0.032227933,0.022870892,0.00773006,0.025488126,0.123695893
0.086480171,0.031676347,0.023482545,0.006596186,0.026279056,0.116428398
0.089108584,0.027495192,0.024036988,0.005639162,0.027094531,0.108853087
0.091555443,0.031567168,0.024618197,0.004932537,0.02793531,0.10183292
0.094002455,0.030707174,0.025136525,0.004278532,0.02880218,0.094916545
0.096583696,0.030707174,0.025665766,0.003687243,0.02969595,0.088307744
0.099235816,0.028658299,0.026206151,0.003206816,0.030617455,0.081958345
0.101236498,0.030813378,0.026683678,0.00276563,0.031567556,0.076205169
0.104090557,0.031134201,0.0273973,0.002401242,0.032547139,0.070466889
0.106568286,0.030707174,0.028169108,0.002059517,0.033557121,0.06476339
0.109338576,0.029767653,0.029043233,0.001850469,0.034598443,0.059667319
,,0.029944483,0.001704861,0.035672079,0.054637055
,,0.030873701,0.00157552,0.036779031,0.050430246
,,0.031831753,0.001459558,0.037920334,0.046832905
,,0.032637686,0.001295578,0.039097052,0.043412445
,,0.033232409,0.001110199,0.040310286,0.04036505
,,0.033820881,0.00094833,0.041561168,0.037577509
,,0.034216093,0.000836296,0.042850867,0.03511108
,,0.034598443,0.000733434,0.044180586,0.032886895
,,0.03491571,0.000628893,0.045551569,0.030559659
,,0.035223458,0.000536439,0.046965095,0.028729027
,,0.035462107,0.000458848,0.048422485,0.027273648
,,0.035895757,0.000386295,0.049925099,0.026034913
,,0.036180184,0.000318489,0.051474342,0.024898082
,,0.036562544,0.00026787,0.053071659,0.023767242
,,0.037047238,0.000224766,0.054718544,0.022854889
,,0.037700699,0.000187873,0.056416533,0.022180113
,,0.038286016,0.000159958,0.058167214,0.02139401
,,0.038783328,0.000138078,0.05997222,0.020851445
,,0.039533944,0.000122592,0.061833239,0.020447317
,,0.040760736,0.000119922,0.063752007,0.019880066
,,0.04161894,0.000119483,0.065730317,0.019578406
,,,,0.067770016,0.019222449
,,,,0.06987301,0.018815339
,,,,0.072041263,0.018563865
,,,,0.0742768,0.018326958
,,,,0.076581708,0.01821521
,,,,0.078958141,0.017884039
,,,,0.081408318,0.017612666
,,,,0.083934527,0.017612666
,,,,0.086539127,0.017591135
,,,,0.089224552,0.017612666
,,,,0.091993309,0.017591135
,,,,0.094847985,0.017591135
,,,,0.097791244,0.017709883
,,,,0.100825837,0.017829432
,,,,0.103954598,0.017829432
,,,,0.106883098,0.017829432
